local,tipo,denominacion,latitud,longitud,elevacion,referencia,condicion,trafico,provincia
ACB,Aeródromo,CORONEL BOGADO/AGROSERVICIOS,-60.57066,-33.27226,44,Coronel Bogado,PRIVADO,Nacional,SANTA FÉ
ACH,Aeródromo,GENERAL ACHA,-64.61351,-37.40164,277,General Acha,PUBLICO,Nacional,LA PAMPA
ACM,Aeródromo,ARRECIFES/LA CURA MALAL,-60.1417,-34.07574,37,Arrecifes,PRIVADO,Nacional,BUENOS AIRES
ADO,Aeródromo,PUERTO DESEADO,-65.9041,-47.73511,82,Puerto Deseado,PUBLICO,Nacional,SANTA CRUZ
ADT,Aeródromo,BANDERA/AGROSERVICIOS DOÑA TERESA,-62.26462,-28.85541,75,Bandera,PRIVADO,Nacional,SANTIAGO DEL ESTERO
ADU,Aeródromo,BANDERA/DUTTO,-62.23812,-28.86691,87,Bandera,PRIVADO,Nacional,SANTIAGO DEL ESTERO
AER,Aeródromo,BUENOS AIRES/AEROPARQUE J. NEWBERY,-58.41638889,-34.55888889,5.6,Ciudad de Buenos Aires,PUBLICO,Internacional,CIUDAD AUTÓNOMA DE BUENOS AIRES
AGI,Aeródromo,PIEDRA DEL ÁGUILA,-70.01075,-40.19232,649,Piedra del Águila,PRIVADO,Nacional,NEUQUÉN
AGR,Aeródromo,ALTA GRACIA,-64.39388889,-31.65111111,533,Alta Gracia,PUBLICO,Nacional,CÓRDOBA
AII,Aeródromo,CHACABUCO/LAS DOS A,-60.51661,-34.81116,60,Chacabuco,PRIVADO,Nacional,BUENOS AIRES
AJA,Aeródromo,LA LAJA,-68.47305556,-31.35138889,650,La Laja,PRIVADO,Nacional,SAN JUAN
ALC,Aeródromo,AMEGHINO/LA CHACRA,-62.52293,-34.80942,109,Florentino Ameghino,PRIVADO,Nacional,BUENOS AIRES
ALL,Aeródromo,ALLEN,-67.80277778,-38.95833333,290,Allen,PRIVADO,Nacional,RÍO NEGRO
ALR,Aeródromo,ALEJANDRO ROCA,-63.73,-33.34861111,210,Alejandro Roca,PRIVADO,Nacional,CÓRDOBA
ALT,Aeródromo,CRUZ ALTA,-61.83694444,-33.00777778,97,Cruz Alta,PUBLICO,Nacional,CÓRDOBA
ALV,Aeródromo,ALVEAR/AGROALVEAR SRL,-60.66682,-33.06853,32,Alvear,PRIVADO,Nacional,SANTA FÉ
AMA,Aeródromo,ROBERTS/LA AMALIA,-62.01657,-35.10043,100,Roberts,PRIVADO,Nacional,BUENOS AIRES
AME,Aeródromo,AMEGHINO/SIGFRIDO ROHR,-62.46787,-34.83057,110,Florentino Ameghino,PRIVADO,Nacional,BUENOS AIRES
AMG,Aeródromo,AMEGHINO,-62.48266,-34.84541,110,Florentino Ameghino,PRIVADO,Nacional,BUENOS AIRES
ANA,Aeródromo,PARANÁ/AEROCLUB,-60.37388889,-31.75777778,60,La Picada,PUBLICO,Nacional,ENTRE RÍOS
