aerolinea;aerolinea_agrupada
N/A;N/A
AEROLINEAS ARGENTINAS SA;AEROLINEAS ARG / AUSTRAL
AUSTRAL LINEAS AEREAS-CIELOS DEL SUR S.A;AEROLINEAS ARG / AUSTRAL
FB LÍNEAS AÉREAS - FLYBONDI;FLYBONDI
JETSMART AIRLINES S.A.;JETSMART
LAN ARGENTINA S.A. (LATAM AIRLINES);LATAM
BAIRES FLY SA;BAIRES FLY
NORWEGIAN AIR ARGENTINA S.A.U.;NORWEGIAN AIR
AMERICAN JET S.A.;AMERICAN JET
GOL LINHAS AÉREAS S.A.;GOL
LAN AIRLINES S.A.;LATAM
COMPAÑIA PANAMEÑA DE AVIACION;COPA
FUERZA AEREA ARGENTINA (FAA);FUERZA AEREA ARGENTINA
TAM - TRANSPORTES AEREOS MERIDIONAIS S/A;LATAM
AMERICAN AIRLINES INC.;AMERICAN AIRLINES
LAN PERU;LATAM
FUERZA AEREA ARGENTINA;FUERZA AEREA ARGENTINA
ANDES LÍNEAS AÉREAS S.A.;ANDES LÍNEAS AÉREAS
SKY AIRLINE S.A.;SKY AIRLINE
FLYING TIME;ACADEMIA FLYING TIME
AEROVIP (URUGUAY);AEROVIP (URUGUAY)
IBERIA - LINEAS AÉREAS DE ESPAÑA;IBERIA
EJERCITO ARGENTINO;EJERCITO ARGENTINO
L.A.D.E.;LADE
LADE;LADE
AVIANCA AEROVIAS NACIONALES COLOMBIA;AVIANCA
LATAM AIRLINES GROUP S.A.(exLAN AIRLINE);LATAM
AERORUTAS S.A. DE TRANSP. AER.;AERORUTAS
KLM ROYAL DOUTCH AIRLINES;KLM ROYAL DUTCH
FLYING AMERICA SA;FLYING AMERICA
AEROVIDA S.A.;AEROVIDA
AEROMAS (URUGUAY);AEROMAS (URUGUAY)
AIR EUROPA LINEAS AEREAS;AIR EUROPA
AZUL LINEA AEREA;AZUL LINEA AEREA
BOLIVIANA DE AVIACION;BOLIVIANA DE AVIACION
UNITED AIRLINES INC. (EEUU);UNITED AIRLINES
AVIAN LINEAS AEREAS S.A. (AVIANCA);AVIANCA
"JUST FLIGHT  ""ROYAL CLASS""";ROYAL CLASS
AEROVIAS DE MEXICO - AEROMEXICO;AEROMEXICO
AMASZONAS DEL PARAGUAY;AMASZONAS
LATAM AIRLINES BRASIL (exTAM LA SA);LATAM
SOCORRO MEDICO PRIVADO (VITTAL);VITTAL (Socorro Médico)
QATAR AIRWAYS;QATAR AIRWAYS
LUFTHANSA;LUFTHANSA
AERONAUTICA S.A.;AERONAUTICA S.A.
TENIL S.A.;TENIL S.A.
AIR FRANCE;AIR FRANCE
BRITISH AIRWAYS;BRITISH AIRWAYS
DELTA AIRLINES;DELTA AIRLINES
UNITED PARCEL SERVICE COMPANY (EEUU);UPS
TURK HAVA YOLLARI (TURKISH AIRLINES CO.);TURKISH AIRLINES
FLYEST S.A. LÍNEAS AÉREAS;FLYEST LÍNEAS AÉREAS
TRANSPORTES AEREOS DEL MERCOSUR;LATAM
CWO S.A. - SUN FLIGHT;ESCUELA SUN FLIGHT
JETSMART AIRLINES SPA;JETSMART
TACA PERU;AVIANCA
ETHIOPIAN AIRLINES;ETHIOPIAN AIRLINES
AIR CANADA;AIR CANADA
LUFTHANSA CARGO AG.;LUFTHANSA CARGO AG.
AMASZONAS S.A;AMASZONAS
ALITALIA LINEAS AEREAS;ALITALIA
ATLAS AIR (EEUU);ATLAS AIR (EEUU)
COMPAÑÍA DE AVIACIÓN PARAGUAYA S.A.;PARANAIR
NORWEGIAN;NORWEGIAN AIR
EMIRATES AIRLINES;EMIRATES AIRLINES
FAST COLOMBIA S.A.S;FAST COLOMBIA
PRESIDENCIA DE LA NACION;PRESIDENCIA DE LA NACION
RUFU;RUFU
COOPERATIVA T Y C. SERV. NEUQUINOS LTDA;COOPERATIVA T Y C. SERV. NEUQUINOS
LAN ECUADOR;LATAM
TWR SRL;TWR SRL
PRIVATE AVIATION CONSULTING S.A.;PRIVATE AVIATION CONSULTING
ITA AIRWAYS;ITA AIRWAYS
EMBAJADA DE LOS ESTADOS UNIDOS;EMBAJADA DE LOS ESTADOS UNIDOS
TIA S.A.;TIA S.A.
AIR NEW ZEALAND LTD;AIR NEW ZEALAND
FUERZA AEREA URUGUAYA;FUERZA AEREA URUGUAYA
MARTINAIR HOLLAND;MARTINAIR HOLLAND
CREOLMAR S.A;CREOLMAR S.A
ESCUELA DE VUELO CORRIENTES;ESCUELA DE VUELO CORRIENTES
ESC.FEDERAL DE AVIACION POLICIAL;ESCUELA FEDERAL POLICIAL
RUFU SOC. DE ACCIONES SIMPLIFICADA;RUFU
