Clase_Vuelo,Agrupado
REGULAR,Regular
Vuelo Privado con Matrícula Nacional,Privado
Vuelo Escuela,Escuela
NO REGULAR,No Regular
Vuelo Oficial Nacional,Oficial Nacional
VUELOS ESCUELA,Escuela
VUELOS PRIVADOS NACIONALES,Privado
VUELOS OFICIALES NACIONALES,Oficial Nacional
Vuelo de Adiestramiento,Escuela
1R,Otros
Vuelo Privado con Matrícula Extranjera,Privado
TRABAJO AEREO,Otros
4N,Otros
3E,Otros
VUELOS DE ADIESTRAMIENTO,Escuela
VUELOS PRIVADO CON MATRICULA EXTRANJERA,Privado
1N,Otros
2N,Otros
Vuelo Oficial Extranjero,Oficial Extranjero
VUELOS OFICIALES EXTRANJEROS,Oficial Extranjero
4E,Otros
3A,Otros
1T,Otros
2E,Otros
ESCUELA (NO VIGENTE),Otros
