cod_aero,aeropuerto,ciudad,pais,latitud,longitud
AYGA,Goroka Airport,Goroka,Papua Nueva Guinea ,-6.081689835,145.3919983
AYMD,Madang Airport,Madang,Papua Nueva Guinea ,-5.207079887,145.7890015
AYMH,Mount Hagen Kagamuga Airport,Mount Hagen,Papua Nueva Guinea ,-5.826789856,144.2960052
AYNZ,Nadzab Airport,Nadzab,Papua Nueva Guinea ,-6.569803,146.725977
AYPY,Port Moresby Jacksons International Airport,Port Moresby,Papua Nueva Guinea ,-9.443380356,147.2200012
AYWK,Wewak International Airport,Wewak,Papua Nueva Guinea ,-3.583830118,143.6690063
BGBW,Narsarsuaq Airport,Narssarssuaq,Groenlandia ,61.16049957,-45.42599869
BGGH,Godthaab / Nuuk Airport,Godthaab,Groenlandia ,64.19090271,-51.67810059
BGSF,Kangerlussuaq Airport,Sondrestrom,Groenlandia ,67.0122219,-50.71160316
BGTL,Thule Air Base,Thule,Groenlandia ,76.53119659,-68.70320129
BIAR,Akureyri Airport,Akureyri,Islandia ,65.66000366,-18.0727005
BIEG,Egilsstaðir Airport,Egilsstadir,Islandia ,65.28330231,-14.40139961
BIHN,Hornafjörður Airport,Hofn,Islandia ,64.295601,-15.2272
BIHU,Húsavík Airport,Husavik,Islandia ,65.952301,-17.426001
BIIS,Ísafjörður Airport,Isafjordur,Islandia ,66.05809784,-23.13529968
BIKF,Keflavik International Airport,Keflavik,Islandia ,63.98500061,-22.60560036
BIPA,Patreksfjörður Airport,Patreksfjordur,Islandia ,65.555801,-23.965
BIRK,Reykjavik Airport,Reykjavik,Islandia ,64.12999725,-21.94059944
BISI,Siglufjörður Airport,Siglufjordur,Islandia ,66.133301,-18.9167
BIVM,Vestmannaeyjar Airport,Vestmannaeyjar,Islandia ,63.42430115,-20.27890015
CYAM,Sault Ste Marie Airport,Sault Sainte Marie,Canadá ,46.48500061,-84.50939941
CYAV,Winnipeg / St. Andrews Airport,Winnipeg,Canadá ,50.0564003,-97.03250122
CYAW,Halifax / CFB Shearwater Heliport,Halifax,Canadá ,44.639702,-63.499401
CYAY,St. Anthony Airport,St. Anthony,Canadá ,51.39189911,-56.08309937
CYAZ,Tofino / Long Beach Airport,Tofino,Canadá ,49.079833,-125.775583
CYBB,Kugaaruk Airport,Pelly Bay,Canadá ,68.534401,-89.808098
CYBC,Baie Comeau Airport,Baie Comeau,Canadá ,49.13249969,-68.20439911
