aerolinea;aerolinea_agrupada
N/A;N/A
AEROLINEAS ARGENTINAS SA;AEROLINEAS ARG / AUSTRAL
AUSTRAL LINEAS AEREAS-CIELOS DEL SUR S.A;AEROLINEAS ARG / AUSTRAL
FB LÍNEAS AÉREAS - FLYBONDI;FLYBONDI
JETSMART AIRLINES S.A.;JETSMART
LAN ARGENTINA S.A. (LATAM AIRLINES);LATAM
BAIRES FLY SA;BAIRES FLY
AMERICAN JET S.A.;AMERICAN JET
GOL LINHAS AÉREAS S.A.;GOL
NORWEGIAN AIR ARGENTINA S.A.U.;NORWEGIAN AIR
LAN AIRLINES S.A.;LATAM
COMPAÑIA PANAMEÑA DE AVIACION;COMPAÑÍA PANAMEÑA
FUERZA AEREA ARGENTINA (FAA);FUERZA AEREA ARGENTINA
AMERICAN AIRLINES INC.;AMERICAN AIRLINES
TAM - TRANSPORTES AEREOS MERIDIONAIS S/A;LATAM
LAN PERU;LATAM
FUERZA AEREA ARGENTINA;FUERZA AEREA ARGENTINA
SKY AIRLINE S.A.;SKY AIRLINE
LADE;LADE
AEROVIP (URUGUAY);AEROVIP (URUGUAY)
ANDES LÍNEAS AÉREAS S.A.;ANDES LÍNEAS AÉREAS
IBERIA - LINEAS AÉREAS DE ESPAÑA;IBERIA
EJERCITO ARGENTINO;EJERCITO ARGENTINO
FLYING TIME;ACADEMIA FLYING TIME
AVIANCA AEROVIAS NACIONALES COLOMBIA;AVIANCA
LATAM AIRLINES GROUP S.A.(exLAN AIRLINE);LATAM
L.A.D.E.;LADE
AERORUTAS S.A. DE TRANSP. AER.;AERORUTAS
KLM ROYAL DOUTCH AIRLINES;KLM ROYAL DUTCH
AEROVIDA S.A.;AEROVIDA
AIR EUROPA LINEAS AEREAS;AIR EUROPA
AEROMAS (URUGUAY);AEROMAS (URUGUAY)
FLYING AMERICA SA;FLYING AMERICA
BOLIVIANA DE AVIACION;BOLIVIANA DE AVIACION
UNITED AIRLINES INC. (EEUU);UNITED AIRLINES
LATAM AIRLINES BRASIL (exTAM LA SA);LATAM
"JUST FLIGHT  ""ROYAL CLASS""";ROYAL CLASS
AEROVIAS DE MEXICO - AEROMEXICO;AEROMEXICO
AZUL LINEA AEREA;AZUL LINEA AEREA
SOCORRO MEDICO PRIVADO (VITTAL);VITTAL (Socorro Médico)
AMASZONAS DEL PARAGUAY;AMASZONAS
AERONAUTICA S.A.;AERONAUTICA S.A.
AVIAN LINEAS AEREAS S.A. (AVIANCA);AVIANCA
LUFTHANSA;LUFTHANSA
TENIL S.A.;TENIL S.A.
QATAR AIRWAYS;QATAR AIRWAYS
BRITISH AIRWAYS;BRITISH AIRWAYS
AIR FRANCE;AIR FRANCE
DELTA AIRLINES;DELTA AIRLINES
UNITED PARCEL SERVICE COMPANY (EEUU);UPS
TURK HAVA YOLLARI (TURKISH AIRLINES CO.);TURKISH AIRLINES
FLYEST S.A. LÍNEAS AÉREAS;FLYEST LÍNEAS AÉREAS
CWO S.A. - SUN FLIGHT;ESCUELA SUN FLIGHT
ETHIOPIAN AIRLINES;ETHIOPIAN AIRLINES
AIR CANADA;AIR CANADA
COMPAÑÍA DE AVIACIÓN PARAGUAYA S.A.;PARANAIR
JETSMART AIRLINES SPA;JETSMART
TRANSPORTES AEREOS DEL MERCOSUR;LATAM
LUFTHANSA CARGO AG.;LUFTHANSA CARGO AG.
FAST COLOMBIA S.A.S;FAST COLOMBIA
TACA PERU;AVIANCA
ATLAS AIR (EEUU);ATLAS AIR (EEUU)
AMASZONAS S.A;AMASZONAS
ALITALIA LINEAS AEREAS;ALITALIA
ITA AIRWAYS;ITA AIRWAYS
NORWEGIAN;NORWEGIAN AIR
EMIRATES AIRLINES;EMIRATES AIRLINES
PRESIDENCIA DE LA NACION;PRESIDENCIA DE LA NACION
COOPERATIVA T Y C. SERV. NEUQUINOS LTDA;COOPERATIVA T Y C. SERV. NEUQUINOS
PRIVATE AVIATION CONSULTING S.A.;PRIVATE AVIATION CONSULTING
RUFU;RUFU
RUFU SOC. DE ACCIONES SIMPLIFICADA;RUFU
LAN ECUADOR;LATAM
TWR SRL;TWR SRL
TIA S.A.;TIA S.A.
EMBAJADA DE LOS ESTADOS UNIDOS;EMBAJADA DE LOS ESTADOS UNIDOS
LATAM AIRLINES BRASIL;LATAM
FUERZA AEREA URUGUAYA;FUERZA AEREA URUGUAYA
MD FLY S.A.;MD FLY S.A.
CREOLMAR S.A;CREOLMAR S.A
SWISS InternacionalNATIONAL AIR LINES LTD.;SWISS AIRLINES
MARTINAIR HOLLAND;MARTINAIR HOLLAND
